t_s,t_hr_after_36h,equilibrium_active,separation_earth_mars_m,q_osc_earth_mars_m,e_osc_earth_mars,separation_mars_secondary_m,q_osc_mars_secondary_m,e_osc_mars_secondary,separation_earth_secondary_m,q_osc_earth_secondary_m,e_osc_earth_secondary
32400.0,9.0,,151026210.81946272,10851837.597804649,0.8736505884099637,14814732.555653505,8993103.29337953,0.44084881006144105,136332999.96862006,13901200.56675408,0.8900145352957927
32700.0,9.083333333333334,,150857991.09954467,10858984.792556228,0.873626343763852,15031161.20621996,8991520.958328303,0.4415014220263191,135899078.4487509,14167946.478978451,0.8832849750868452
33000.0,9.166666666666666,,150687708.71437615,10864013.94632809,0.8736243419996296,15245869.870656734,8989281.096636795,0.4421666892606061,135477949.88389644,14371537.100305583,0.8771059955769317
33300.0,9.25,,150515374.94043815,10867094.454444135,0.873642700024826,15458750.958551751,8986344.319741843,0.4428456943709828,135069242.04738933,14514931.09084708,0.8715104447341655
33600.0,9.333333333333334,,150341000.69114247,10868382.571726954,0.8736796876567422,15669708.098728633,8982673.35863293,0.44353956082344514,134672585.8480368,14601332.569821471,0.8665207801927525
33900.0,9.416666666666666,,150164596.49105224,10868022.321993206,0.8737337162601233,15878654.934719415,8978233.177426374,0.44424943821597146,134287616.42406878,14634123.282392528,0.8621500668559622
34200.0,9.5,,149986172.45717195,10866146.377165515,0.8738033279060775,16085514.042473838,8972991.067448266,0.44497648892122715,133913974.02710676,14616803.4004539,0.8584029833742561
34500.0,9.583333333333334,,149805738.2860909,10862876.897708014,0.8738871851206281,16290215.958883824,8966916.723322181,0.44572187601928764,133551304.72799824,14552939.708173633,0.8552768185255056
34800.0,9.666666666666666,,149623303.2459459,10858326.329175109,0.8739840612595061,16492698.310490597,8959982.302469628,0.44648675243785835,133199260.97187403,14446120.28699561,0.8527624421483738
35100.0,9.75,,149438876.17233583,10852598.151996655,0.874092831522246,16692905.032558702,8952162.469339384,0.44727225121771363,132857502.00588174,14299915.07270403,0.850845238100465
35400.0,9.833333333333334,,149252465.46745002,10845787.583358867,0.8742124646016046,16890785.669511616,8943434.425585212,0.4480794768232302,132525694.19966242,14117841.828180928,0.849505989071817
35700.0,9.916666666666666,,149064079.10179618,10837982.231314415,0.8743420149522274,17086294.74851669,8933777.92732636,0.44890949742131364,132203511.27571261,13903337.177899487,0.8487217051962519
36000.0,10.0,,148873724.61800852,10829262.702164676,0.8744806156542724,17279391.2187568,8923175.290537624,0.44976333805627305,131890634.464255,13659732.401095696,0.8484663903832046
36300.0,10.083333333333334,,148681409.1363036,10819703.162787749,0.8746274718423562,17470037.94963479,8911611.38554034,0.45064197465281214,131586752.59507512,13390233.695425594,0.8487117421840576
36600.0,10.166666666666666,,148487139.36122167,10809371.860003002,0.8747818546670547,17658201.281810798,8899073.621491028,0.45154632878419493,131291562.13692531,13097906.615165541,0.8494277828055287
36900.0,10.25,,148290921.58935216,10798331.599318398,0.874943095754666,17843850.625579875,8885551.921703156,0.4524772631473423,131004767.1935065,12785664.368698902,0.8505834205579519
37200.0,10.333333333333334,,148092761.7177935,10786640.185540441,0.875110582130601,18026958.101649385,8871038.690577717,0.4534355776912779,130726079.46367767,12456259.637686964,0.8521469425386752
37500.0,10.416666666666666,,147892665.25313976,10774350.827772196,0.8752837515722689,18207498.219879486,8855528.772866132,0.4544220063496887,130455218.1723825,12112279.561017599,0.854086440663293
37800.0,10.5,,147690637.32082295,10761512.511304725,0.8754620883584142,18385447.59200756,8839019.40594503,0.4554372143323575,130191909.97778876,11756143.514184266,0.8563701742431328
38100.0,10.583333333333334,,147486682.67467073,10748170.338842317,0.8756451193833392,18560784.67479017,8821510.165741084,0.4564817959339299,129935888.85929145,11390103.311086861,0.8589668731532144
38400.0,10.666666666666666,,147280805.70656478,10734365.843405444,0.8758324106061589,18733489.540367812,8803002.906909052,0.4575562728217851,129686895.99030921,11016245.460781578,0.8618459862415714
38700.0,10.75,,147073010.45610636,10720137.275139041,0.8760235638070952,18903543.670992408,8783501.697834466,0.45866109276775807,129444679.59918824,10636495.12576999,0.8649778800118094
39000.0,10.833333333333334,,146863300.6202131,10705519.864125112,0.8762182136247166,19070929.77555748,8763012.751004845,0.45979662879109146,129208994.82100587,10252621.449656602,0.8683339927888334
39300.0,10.916666666666666,,146651679.56258747,10690546.061165089,0.8764160248499338,19235631.62564062,8741544.34926926,0.46096317868228626,128979603.54261963,9866243.94870494,0.8718869495819689
39600.0,11.0,,146438150.32300887,10675245.758361429,0.8766166899544126,19397633.909008346,8719106.768483048,0.4621609648795898,128756274.2429291,9478839.692182735,0.8756106427223415
39900.0,11.083333333333334,,146222715.6264115,10659646.491195116,0.8768199268328576,19556922.098748643,8695712.19701418,0.4633901346716084,128538781.82999602,9091751.02869402,0.8794802831048585
40200.0,11.166666666666666,,146005377.89171982,10643773.623666162,0.8770254767403038,19713482.33639047,8671374.652570296,0.46465076070105854,128326907.47639291,8706193.64845366,0.8834724265401144
40500.0,11.25,,145786139.24042022,10627650.517940605,0.877233102407152,19867301.327540662,8646109.896786692,0.46594284174604705,128120438.45391925,8323264.8034445075,0.8875649793455458
