radius_key,dynamical_efficiency,sample,outcome,first_contact_time_hr_after_36h,tidal_passage_count,equilibrium_ever_active,outer_position_perturbation_m,outer_velocity_perturbation_m_s,inner_position_perturbation_m,inner_velocity_perturbation_m_s
r95,0.01,9,earth_secondary_contact,28.708757893323952,2,1,111883.6873485778,40.672888772102354,74924.65400291864,11.782382944805056
r95,0.01,10,earth_secondary_contact,28.703266441243127,2,1,214950.5045388596,43.068227713138114,90999.6519771366,15.902587628848854
r95,0.01,11,earth_secondary_contact,29.022381794021435,2,0,233973.9920960704,29.120854930092783,27671.602150507908,13.971643881974284
r95,0.01,12,earth_secondary_contact,29.01909065645112,2,0,111403.03092837756,16.993087492196956,101818.13862449926,21.58012580690073
r95,0.01,13,earth_secondary_contact,29.18867274804831,2,0,97947.28536535862,36.14886701432488,28036.398259574045,17.847719047335094
r95,0.01,14,earth_secondary_contact,29.089412136157705,2,0,168313.17740656083,27.946283965519402,82470.91433200857,22.581217061663953
r95,0.01,15,earth_secondary_contact,28.923128844706625,2,0,200179.46142495627,35.714567381340736,58159.23928277778,8.982636502185912
r95,0.01,16,earth_secondary_contact,28.80210803426889,2,0,50477.09610541816,50.714802215082514,49614.74693345509,25.646151364656774
r95,0.01,17,earth_secondary_contact,29.670259025064393,2,0,195292.1903103024,60.56239135099013,7860.069845788783,16.359138064314493
r95,0.01,18,earth_secondary_contact,29.165700447250494,2,0,98207.76035929858,19.494500596138035,127665.03446933579,11.154161353377635
r95,0.01,19,earth_secondary_contact,28.108995729633886,2,1,219219.25058272702,66.67026151489455,64684.07027815238,26.63795432124396
r95,0.01,20,earth_secondary_contact,29.423993140064113,2,0,195451.0495711207,32.2352729515042,107523.93846440924,27.261692512358685
r95,0.01,21,earth_secondary_contact,28.235753440022567,2,1,119237.6527242448,66.06697607424826,96742.86304261065,17.068072352666118
r95,0.01,22,earth_secondary_contact,29.02889844651634,2,0,179727.97926133545,32.7965535774848,65766.80966947554,13.608380293286094
r95,0.01,23,earth_secondary_contact,28.831217048294125,2,1,91564.26639962911,46.035537388073465,58132.1955619765,9.299754602913417
r95,0.01,24,earth_secondary_contact,28.677073035829544,2,1,207867.58692028397,44.09740903357435,107792.91479662708,22.08825205408282
r95,0.01,25,earth_secondary_contact,29.326789458335536,2,0,218632.58363895776,39.24767116513882,93548.21922696901,14.657361594883824
r95,0.01,26,earth_secondary_contact,28.87043006880868,2,0,27852.19109334521,29.172433065491337,104521.98127598285,12.379115931319193
r95,0.01,27,earth_secondary_contact,28.94091925630198,2,0,75116.13301415453,32.12190372707429,48426.42096933376,17.290879088896762
r95,0.01,28,earth_secondary_contact,28.7132104006991,2,0,34004.35809727637,24.000525115616295,98401.0676495183,21.521485349364955
r95,0.01,29,earth_secondary_contact,28.67429378780233,2,1,172551.2799188573,20.845444024298843,104609.50881666438,19.176723399843272
r95,0.01,30,earth_secondary_contact,29.33362370082426,2,0,46044.2094153537,38.886302290249105,155920.00058598624,12.477906795444017
r95,0.01,31,earth_secondary_contact,29.075017530129497,2,0,96462.81777278292,24.98665765957347,96575.24390479586,16.3841503058914
r95,0.1,0,earth_secondary_contact,29.082182627215087,2,0,266911.2745088388,32.980353223859396,50037.386229439886,12.62100978451081
r95,0.1,1,earth_secondary_contact,28.60042446682342,2,1,142099.79477547784,39.13652235662996,59946.1683485837,23.692704487928317
r95,0.1,2,earth_secondary_contact,28.878692935046296,2,0,112980.31964841767,21.65518151875099,73244.91441807665,16.56514193406026
r95,0.1,3,earth_secondary_contact,29.240880508814346,2,0,315207.1854821795,35.82077443861536,58341.51469743168,24.26126951975948
r95,0.1,4,earth_secondary_contact,29.11603599964212,2,0,437222.4176170914,4.1032728720539735,98603.88692556912,16.18317502559737
r95,0.1,5,earth_secondary_contact,29.173377079760684,2,0,67192.13487563617,22.16982555120182,62351.14202285223,5.832818521813881
r95,0.1,6,earth_secondary_contact,28.335374178937524,2,1,130323.74372763422,46.86575674002584,142896.84619933247,12.190669805120232
r95,0.1,7,earth_secondary_contact,29.135457035370443,2,0,90040.29382842888,37.14101378295872,80376.24039256264,15.314812614163932
r95,0.1,8,earth_secondary_contact,29.096179827741715,2,0,212679.49068287062,54.92559360133452,24995.410108921784,8.005688173731098
r95,0.1,9,earth_secondary_contact,28.70902705688554,2,1,111883.6873485778,40.672888772102354,74924.65400291864,11.782382944805056
r95,0.1,10,earth_secondary_contact,28.70340252770156,2,1,214950.5045388596,43.068227713138114,90999.6519771366,15.902587628848854
r95,0.1,11,earth_secondary_contact,29.022643562230105,2,0,233973.9920960704,29.120854930092783,27671.602150507908,13.971643881974284
r95,0.1,12,earth_secondary_contact,29.019557844077507,2,0,111403.03092837756,16.993087492196956,101818.13862449926,21.58012580690073
r95,0.1,13,earth_secondary_contact,29.18890405790321,2,0,97947.28536535862,36.14886701432488,28036.398259574045,17.847719047335094
r95,0.1,14,earth_secondary_contact,29.08955631794785,2,0,168313.17740656083,27.946283965519402,82470.91433200857,22.581217061663953
r95,0.1,15,earth_secondary_contact,28.923308461837493,2,0,200179.46142495627,35.714567381340736,58159.23928277778,8.982636502185912
r95,0.1,16,earth_secondary_contact,28.802562688009584,2,0,50477.09610541816,50.714802215082514,49614.74693345509,25.646151364656774
r95,0.1,17,earth_secondary_contact,29.670647125692756,2,0,195292.1903103024,60.56239135099013,7860.069845788783,16.359138064314493
r95,0.1,18,earth_secondary_contact,29.165851075012096,2,0,98207.76035929858,19.494500596138035,127665.03446933579,11.154161353377635
r95,0.1,19,earth_secondary_contact,28.10914270240593,2,1,219219.25058272702,66.67026151489455,64684.07027815238,26.63795432124396
r95,0.1,20,earth_secondary_contact,29.424056254410306,2,0,195451.0495711207,32.2352729515042,107523.93846440924,27.261692512358685
r95,0.1,21,earth_secondary_contact,28.235887695533176,2,1,119237.6527242448,66.06697607424826,96742.86304261065,17.068072352666118
r95,0.1,22,earth_secondary_contact,29.02918807487111,2,0,179727.97926133545,32.7965535774848,65766.80966947554,13.608380293286094
r95,0.1,23,earth_secondary_contact,28.831375525628488,2,1,91564.26639962911,46.035537388073465,58132.1955619765,9.299754602913417
r95,0.1,24,earth_secondary_contact,28.677428436956006,2,1,207867.58692028397,44.09740903357435,107792.91479662708,22.08825205408282
r95,0.1,25,earth_secondary_contact,29.327202405793404,2,0,218632.58363895776,39.24767116513882,93548.21922696901,14.657361594883824
r95,0.1,26,earth_secondary_contact,28.870720889820195,2,0,27852.19109334521,29.172433065491337,104521.98127598285,12.379115931319193
r95,0.1,27,earth_secondary_contact,28.941038609872123,2,0,75116.13301415453,32.12190372707429,48426.42096933376,17.290879088896762
r95,0.1,28,earth_secondary_contact,28.713562090896183,2,0,34004.35809727637,24.000525115616295,98401.0676495183,21.521485349364955
